Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City
491541,GRAND AVENUE SHRIMP HOUSE,GRAND AVENUE SHRIMP HOUSE,46923,Restaurant,Risk 2 (Medium),5358 W GRAND AVE,CHICAGO
569288,THE FOUR SEASONS HOTEL CHICAGO,THE FOUR SEASONS HOTEL CHICAGO,1823680,Restaurant,Risk 1 (High),120 E DELAWARE PL,CHICAGO
381334,MAMA MILANO,MAMA MILANO,2084025,Restaurant,Risk 1 (High),1419 N WELLS ST,CHICAGO
357243,THE BEDFORD,THE BEDFORD,2060151,Restaurant,Risk 1 (High),1612 W DIVISION ST,CHICAGO
612230,MR BEEF,MR BEEF,3528,Restaurant,Risk 1 (High),666 N ORLEANS ST,CHICAGO
537322,S & K FOOD MART & RESTAURANT,S & K FOOD MART & RESTAURANT,2031745,Grocery Store,Risk 2 (Medium),400 E 61ST ST,CHICAGO
166325,OFELIO TORRES,GLORIA'S TACOS,10923,Restaurant,Risk 1 (High),1755 W 18TH ST,CHICAGO
537357,TAYLOR ELEMENTARY SCHOOL,TAYLOR ELEMENTARY SCHOOL,25591,School,Risk 1 (High),9912 S Avenue H (3732E),CHICAGO
583232,SOUTH LOOP BRANCH,SOUTH LOOP EARLY CHILDHOOD CENTER,23752,School,Risk 1 (High),1915 S Federal St. (60W),CHICAGO
453329,EL TACONAZO RESTAURANT,EL TACONAZO RESTAURANT,1964480,Restaurant,Risk 1 (High),5849 S KEDZIE AVE,CHICAGO
635206,BIG SAMS FOOD & CELLULAR,BIG SAMS FOOD & CELLULAR,2069454,Grocery Store,Risk 2 (Medium),333 W 119TH ST,CHICAGO
581190,FRESH  START PRODUCE INC,FRESH  START PRODUCE INC,1300894,Wholesale,Risk 3 (Low),1250 W 42ND ST,CHICAGO
88794,NICK'S MEAT CORP.,NICK'S MEAT MARKET,1914680,Grocery Store,Risk 1 (High),4410 N MILWAUKEE AVE,CHICAGO
583261,YUMMY YUMMY NOODLES,YUMMY YUMMY NOODLES,2098003,Restaurant,Risk 1 (High),2002 S WENTWORTH AVE,CHICAGO
547516,"CHELIS COCINA ECONOMICA, INC.","CHELIS COCINA ECONOMICA, INC.",1909992,Restaurant,Risk 1 (High),3046 W CERMAK RD,CHICAGO
491222,SANCHEZ MINIMARKET,SANCHEZ MINIMARKET,2074248,Grocery Store,Risk 3 (Low),6059 S KILDARE AVE,CHICAGO
114817,STARBUCKS,STARBUCKS,2083697,Restaurant,Risk 2 (Medium),233 S WACKER DR,CHICAGO
