Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
CC2131392,9/25/2021,7:00,9/24/2021,12:12,"75 E ARMORY AVE, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
IF2100700,9/25/2021,0:25,9/25/2021,0:25,212 E GREEN ST,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100708,9/25/2021,21:20,9/25/2021,21:20,ICE ARENA,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
IF2100709,9/25/2021,22:23,9/25/2021,22:23,OGLESBY RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2107690,9/25/2021,10:20,9/25/2021,10:20,GREEN ST E / SECOND ST,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE
II2107692,9/25/2021,22:32,9/24/2021,12:00,SHERMAN RESIDNECE HALL,BATTERY‐DOMESTIC,ARREST
II2107695,9/25/2021,23:32,9/25/2021,23:32,RED LION,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE
CC2131564,9/26/2021,7:00,9/25/2021,19:52,JOE'S BREWERY,THEFT,REPORTED TO OTHER AGENCY
CC2131578,9/26/2021,7:00,9/25/2021,22:41,"501 E GREEN ST, CHAMPAIGN",MOTOR VEHICLE THEFT,REPORTED TO OTHER AGENCY
CC2131592,9/26/2021,7:00,9/25/2021,23:57,"310 E SPRINGFIELD AVE, CHAMPAIGN",THREATS,REPORTED TO OTHER AGENCY
IF2100711,9/26/2021,1:20,9/26/2021,1:20,WASSAJA RESIDENCE HALL,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
IF2100713,9/26/2021,1:16,9/26/2021,1:16,RED LION,BATTERY,ADMIN CLOSED
II2107727,9/26/2021,20:46,9/26/2021,20:44,SMALL ANIMAL CLINIC,CRIMINAL DAMAGE GOVT SUPPORT PROP,PENDING
II2107730,9/26/2021,21:40,9/25/2021,6:00,BECKMAN INSTITUTE,THEFT OVER $500,ADMIN. CLOSE
II2107734,9/26/2021,20:00,9/26/2021,20:00,ARC,THEFT $500 AND UNDER,PENDING
II2107759,9/26/2021,23:14,9/25/2021,0:01,"00 blk of WEST LAFAYETTE,IN",ASSIST OTHER POLICE DEPT,ADMIN. CLOSE
CC2131663,9/27/2021,7:00,9/26/2021,17:57,"211 E GREEN ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2131701,9/27/2021,7:00,9/26/2021,21:36,"309 CHALMERS ST, CHAMPAIGN",THEFT FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
CSA21‐080,9/27/2021,8:56,9/24/2021,0:01,1400 GREGORY DR,RAPE,ADMIN CLOSED
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
IF2100719,9/27/2021,11:43,9/27/2021,11:43,ARBORETUM,INDECENT EXPOSURE,ADMIN CLOSED
IF2100722,9/27/2021,21:07,9/27/2021,21:07,DAVENPORT HALL,CRIMINAL DAMAGE,ADMIN CLOSED
IF2100723,9/27/2021,23:25,9/27/2021,23:25,1214 S FIRST ST,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2107768,9/27/2021,20:12,9/25/2021,19:34,1400 blk of GREGORY DR E,INTIMIDATION,PENDING
OR21‐013,9/27/2021,15:52,9/26/2021,2:00,"305 E DANIEL ST, CHAMPAIGN",THEFT $500 AND UNDER,REFERRED TO OTHER JURISDICTION
UU2117995,9/27/2021,7:00,9/26/2021,21:09,"1203 W GREEN ST, URBANA",THEFT FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
03177‐2021,9/28/2021,13:55,9/24/2021,22:35,WESTON RESIDENCE HALL,LIQUOR‐ILLEGAL POSS. BY MINOR,STUDENT DISC REFERRAL
03182‐2021,9/28/2021,14:08,9/25/2021,2:30,ALLEN RESIDENCE HALL,LIQUOR‐ILLEGAL POSS. BY MINOR,STUDENT DISC REFERRAL
03205‐2021,9/28/2021,14:26,9/26/2021,3:45,ALLEN RESIDENCE HALL,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
03216‐2021,9/28/2021,14:31,9/26/2021,23:28,CARR RESIDENCE HALL,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
03230‐2021,9/28/2021,14:44,9/27/2021,18:45,WESTON RESIDENCE HALL,LIQUOR‐ILLEGAL POSS. BY MINOR,STUDENT DISC REFERRAL
03242‐2021,9/28/2021,14:56,9/27/2021,23:20,WESTON RESIDENCE HALL,LIQUOR‐ILLEGAL POSS. BY MINOR,STUDENT DISC REFERRAL
CC2131765,9/28/2021,7:00,9/27/2021,10:58,"212 W HEALEY ST, CHAMPAIGN",THEFT FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
CSA21‐081,9/28/2021,9:39,9/25/2021,UNKNOWN,ASHTON WOODS,STALKING,ADMIN CLOSED
CSA21‐082,9/28/2021,13:53,8/15/2021,21:26,ON CAMPUS,STALKING,ADMIN CLOSED
IF2100730,9/28/2021,17:44,9/28/2021,17:44,PARKING LOT C‐10,DISORDERLY CONDUCT,ADMIN CLOSED
II2107787,9/28/2021,8:06,9/17/2021,23:50,INSTITUTE FOR GENOMIC BIO,THEFT $500 AND UNDER,STUDENT DISCIPLINE REFERRAL
II2107794,9/28/2021,12:44,9/28/2021,12:44,SPRINGFIELD AVE / GOODWIN AVE,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE
II2107795,9/28/2021,13:34,9/27/2021,15:00,FIRST ST / GREGORY DR,THEFT OF LOST/MISLAID PROPERTY,PENDING
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
II2107819,9/28/2021,21:41,9/16/2021,0:01,CAMPUS INSTRUCTIONAL FACI,THEFT OVER $500,PENDING
CC2131900,9/29/2021,7:01,9/28/2021,7:38,"309 E WHITE ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CSA21‐083,9/29/2021,13:53,9/1/2021,UNKNOWN,TOWNSEND RESIDENCE HALL,FONDLING,ADMIN CLOSED
CSA21‐084,9/29/2021,14:29,9/1/2021,UNKNOWN,TOWNSEND RESIDENCE HALL,FONDLING,ADMIN CLOSED
II2107834,9/29/2021,9:54,9/29/2021,8:00,ALTGELD HALL,THEFT $500 AND UNDER,PENDING
II2107843,9/29/2021,13:24,9/29/2021,13:24,KCPA,CRIMINAL DAMAGE GOVT SUPPORT PROP,ADMIN. CLOSE
UU2118152,9/29/2021,7:01,9/29/2021,0:54,"702 W ELM ST, URBANA",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY
CC2132029,9/30/2021,7:01,9/29/2021,9:18,"411 E HEALEY ST, CHAMPAIGN",MOTOR VEHICLE THEFT,REPORTED TO OTHER AGENCY
CC2132031,9/30/2021,7:01,9/29/2021,10:06,"51 E GREEN ST, CHAMPAIGN",THEFT FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY
CC2132044,9/30/2021,7:01,9/29/2021,11:29,"905 S FIRST ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
CC2132086,9/30/2021,7:01,9/29/2021,16:15,"616 E GREEN ST, CHAMPAIGN",THEFT,REPORTED TO OTHER AGENCY
II2107869,9/30/2021,0:51,9/30/2021,0:40,KCPA,OBSTRUCTING JUSTICE,ARREST
II2107869,9/30/2021,0:51,9/30/2021,0:40,KCPA,THEFT OVER $500,ARREST
II2107869,9/30/2021,0:51,9/30/2021,0:40,KCPA,THEFT OF LOST/MISLAID PROPERTY,ARREST
II2107882,9/30/2021,8:08,9/29/2021,8:00,MCKINLEY HEALTH CARE CENT,CRIMINAL DAMAGE TO PROPERTY,PENDING
II2107907,9/30/2021,17:34,9/30/2021,17:34,1500 blk of KIRBY AVE W,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE
UU2118178,9/30/2021,7:01,9/29/2021,11:59,"708 W NEVADA ST, URBANA",DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY
UU2118206,9/30/2021,7:01,9/29/2021,19:33,"817 CLARK ST, URBANA",THEFT,REPORTED TO OTHER AGENCY
CC2132234,10/1/2021,7:03,9/30/2021,19:58,"1107 S SECOND ST, CHAMPAIGN",CRIMINAL DAMAGE,REPORTED TO OTHER AGENCY
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
II2107892,10/1/2021,10:52,9/28/2021,14:50,EVERITT LAB,THEFT $500 AND UNDER,PENDING
II2107920,10/1/2021,0:11,10/1/2021,0:11,FOURTH ST S / GREEN ST,ILLEGAL TRANSPORTATION CANNABIS AU,ARREST
II2107928,10/1/2021,10:01,10/1/2021,10:00,ILLINI UNION,HYPODERMIC NEEDLE/SYRINGE‐POSS/SALE,ARREST
II2107928,10/1/2021,10:01,10/1/2021,10:00,ILLINI UNION,CONTROLLED SUBSTANCE‐POSSESSION,ARREST
II2107955,10/1/2021,21:33,10/1/2021,21:33,FOURTH ST S / HEALEY ST E,ILLEGAL TRANSPORTATION CANNABIS AU,ARREST
II2107958,10/1/2021,22:56,9/30/2021,15:00,WESTON RESIDENCE HALL,HARASSMENT BY ELECTRONIC COMMUNICAT,PENDING
UU2118250,10/1/2021,7:03,9/30/2021,11:03,"701 W DELAWARE AVE, URBANA",THEFT,REPORTED TO OTHER AGENCY
CC2132403,10/2/2021,7:01,10/1/2021,22:42,"101 CHALMERS ST, CHAMPAIGN",MOTOR VEHICLE THEFT,REPORTED TO OTHER AGENCY
CC2132412,10/2/2021,0:00,10/1/2021,23:05,KAMS BAR,BATTERY‐AGGRAVATED,REPORTED TO OTHER AGENCY
IF2100747,10/2/2021,1:15,10/2/2021,1:15,HOPKINS RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100749,10/2/2021,1:05,10/2/2021,1:05,TRELEASE RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
IF2100750,10/2/2021,1:25,10/2/2021,1:25,SCOTT RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2107978,10/2/2021,3:12,10/2/2021,3:05,KIRBY AVE W / VALLEY RD,BATTERY‐DOMESTIC,ARREST
II2107978,10/2/2021,3:12,10/2/2021,3:05,KIRBY AVE W / VALLEY RD,CRIMINAL DAMAGE TO PROPERTY,ARREST
II2108000,10/2/2021,17:59,10/2/2021,5:45,PARKING LOT E‐14,BURGLARY FROM MOTOR VEHICLE,PENDING
II2108000,10/2/2021,17:59,10/2/2021,5:45,PARKING LOT E‐14,FRAUD‐CREDIT CARD,REFERRED TO OTHER JURISDICTION
CC2132469,10/3/2021,7:01,10/2/2021,11:53,"517 E UNIVERSITY AVE, CHAMPAIGN",MOTOR VEHICLE THEFT,REPORTED TO OTHER AGENCY
CC2132484,10/3/2021,7:01,10/2/2021,13:19,"107 E SPRINGFIELD, CHAMPAIGN",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY
IF2100752,10/3/2021,5:55,10/3/2021,5:55,WASSAJA RESIDENCE HALL,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
IF2100753,10/3/2021,1:33,10/3/2021,1:33,WASSAJA RESIDENCE HALL,LIQUOR‐UNDERAGE,STUDENT DISC REFERRAL
IF2100769,10/3/2021,0:29,10/3/2021,0:29,FIRST ST/GREEN ST,LIQUOR‐UNDERAGE,ADMIN CLOSED
II2108024,10/3/2021,8:49,9/30/2021,19:30,WESTON RESIDENCE HALL,THEFT OVER $500,ADMIN. CLOSE
II2108030,10/3/2021,15:46,10/2/2021,9:30,PARKING LOT E‐14,BURGLARY FROM MOTOR VEHICLE,PENDING
IF2100764,10/4/2021,23:45,10/4/2021,23:45,WARDALL RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
03293‐2021,10/5/2021,11:57,10/2/2021,1:30,WESTON RESIDENCE HALL,LIQUOR‐UNDERAGE,ADMIN CLOSED
03305‐2021,10/5/2021,12:49,10/2/2021,23:05,LUNDGREN RESIDENCE HALL,LIQUOR‐ILLEGAL POSS. BY MINOR,STUDENT DISC REFERRAL
II2108100,10/5/2021,16:48,10/5/2021,13:45,ILLINI UNION BOOKSTORE,THEFT‐RETAIL,PENDING
OR21‐014,10/5/2021,11:56,9/26/2021,22:30,"408 E CLARK ST, CHAMPAIGN",CRIMINAL DAMAGE,REFERRED TO OTHER JURISDICTION
