Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
607 1/2 Glover Avenue	922116177018.00	7/24/2015	Class B	Expired	10/14/2021	"607 1 2 Glover Avenue
Urbana, IL
(40.108023, -88.193322)"
1302 1/2 Hill Street	912107406011.00	8/17/2011	Class B	Issued	10/14/2021	"1302 1 2 Hill Street
Urbana, IL
(40.119327, -88.226119)"
212 1/2 Central Avenue	912108383001.00	4/26/2010	Class B	Issued		"212 1 2 Central Avenue
Urbana, IL"
801 1/2 East Harding Drive	932121153003.00	6/12/2013	Class B	Issued	10/14/2021	"801 1 2 East Harding Drive
Urbana, IL
(40.093806, -88.19767)"
1003 1/2 East Harding Drive	932121153010.00	7/8/2013	Class B	Issued	10/14/2020	"1003 1 2 East Harding Drive
Urbana, IL
(40.093743, -88.195595)"
1204 1/2 North Goodwin Avenue	912107276001.00	10/20/2011	Class B	Issued	10/14/2021	"1204 1 2 North Goodwin Avenue
Urbana, IL
(40.123423, -88.22415)"
910 1/2 North Busey Avenue	912108153017.00	12/17/2010	Class B	Issued	10/14/2021	"910 1 2 North Busey Avenue
Urbana, IL
(40.120904, -88.216957)"
1109 1/2 East Main Street	922116126007.00	6/5/2015	Class B	Issued	10/14/2020	"1109 1 2 East Main Street
Urbana, IL
(40.112983, -88.195041)"
1306 1/2 East Mumford Drive	932121327003.00	7/8/2013	Class B	Issued	10/14/2021	"1306 1 2 East Mumford Drive
Urbana, IL
(40.090691, -88.192163)"
807 1/2 West Main Street	912108354004.00	5/18/2011	Class A	Issued	10/14/2020	"807 1 2 West Main Street
Urbana, IL
(40.114488, -88.218406)"
709 1/2 South Vine Street	922117264013.00	12/7/2009	Class D	Issued	10/14/2021	"709 1 2 South Vine Street
Urbana, IL
(40.106827, -88.204932)"
906 1/2 South Vine Street	932117426015.00	5/29/2007	Class B	Issued	10/14/2020	"906 1 2 South Vine Street
Urbana, IL
(40.105011, -88.204986)"
1204 1/2 East Michigan Avenue	922116376028.00	5/15/2013	Class B	Issued	10/14/2018	"1204 1 2 East Michigan Avenue
Urbana, IL
(40.101585, -88.193961)"
712 1/2 Wabash Avenue	922116165005.00	12/12/2012	Class B	Issued		"712 1 2 Wabash Avenue
Urbana, IL
(40.106706, -88.196627)"
2001 1/2 East Rainbow View	922116431008.00	1/12/2015	Class B	Issued	10/14/2021	"2001 1 2 East Rainbow View
Urbana, IL
(40.103169, -88.183587)"
601 A Glover Avenue	922116177015.00	11/29/2012	Class A	Issued	10/14/2020	"601 A Glover Avenue
Urbana, IL
(40.108517, -88.193331)"
601 1/2 East Mumford Drive	932120431001.00	7/2/2013	Class B	Issued	10/14/2021	"601 1 2 East Mumford Drive
Urbana, IL
(40.090671, -88.200314)"
601 1/2 West California Avenue	922117160009.00	4/22/2008	Class B	Expired	10/14/2021	"601 1 2 West California Avenue
Urbana, IL
(40.108318, -88.214591)"
108 L North Busey Avenue	912108360001.00	10/12/2010	Class C	Expired		"108 L North Busey Avenue
Urbana, IL
(40.113198, -88.217734)"
604 1/2 West Elm Street	922117110006.00	6/12/2013	Class B	Issued	10/14/2021	"604 1 2 West Elm Street
Urbana, IL
(40.111501, -88.215083)"
2203 1/2 Lantern Hill Drive	912115304011.00	3/12/2015	Class B	Issued	10/14/2021	"2203 1 2 Lantern Hill Drive
Urbana, IL
(40.104243, -88.179517)"
606 1/2 West Elm Street	922117110004.00	6/12/2013	Class C	Issued		"606 1 2 West Elm Street
Urbana, IL
(40.111499, -88.215277)"
1202 1/2 East Michigan Avenue	922116376027.00	5/15/2013	Class B	Issued	10/14/2021	"1202 1 2 East Michigan Avenue
Urbana, IL
(40.101602, -88.194214)"
1210 1/2 Hill Street	912107410012.00	11/9/2011	Class B	Issued	10/14/2021	"1210 1 2 Hill Street
Urbana, IL
(40.119329, -88.225289)"
1408 1/2 South Vine Street	932117478005.00	2/1/2010	Class B	Expired	10/14/2021	"1408 1 2 South Vine Street
Urbana, IL
(40.09987, -88.204907)"
707 1/2 Anderson Street	922117287014.00	11/23/2009	Class B	Issued	10/14/2021	"707 1 2 Anderson Street
Urbana, IL
(40.10711, -88.200223)"
1206 1/2 East Michigan Avenue	922116376029.00	5/15/2013	Class B	Issued		"1206 1 2 East Michigan Avenue
Urbana, IL
(40.101555, -88.193696)"
702 1/2 West Nevada Street	922117157014.00	12/18/2007	Class B	Issued	10/14/2020	"702 1 2 West Nevada Street
Urbana, IL
(40.106511, -88.216193)"
804 1/2 East Main Street	912109353015.00	2/28/2012	Class B	Issued		"804 1 2 East Main Street
Urbana, IL
(40.112998, -88.198791)"
511 West Oregon Street	922117161008.00	4/30/2013	Class B	Issued		"511 West Oregon Street
Urbana, IL
(-88.2143, 40.1073)"
504 East Green Street	922117235008.00	6/26/2007	Class B	Issued		"504 East Green Street
Urbana, IL
(-88.2021, 40.1111)"
805 Hawthorne Drive	922116307008.00	3/16/2016	Class B	Issued		"805 Hawthorne Drive
Urbana, IL
(-88.1986, 40.1022)"
1604 Hunter Street	922116402056.00	7/21/2014	Class C	Issued	10/14/2021	"1604 Hunter Street
Urbana, IL
(-88.1883, 40.1038)"
402 East High Street	922117239005.00	6/27/2007	Class B	Issued	10/14/2021	"402 East High Street
Urbana, IL
(-88.2035, 40.1102)"
2205 South Philo Road	932121332024.00	3/14/2017	Class A	Issued	10/14/2021	"2205 South Philo Road
Urbana, IL
(40.0894966125, -88.19090271)"
101 South Coler Avenue	922117105005.00	1/15/2013	Class B	Expired	10/14/2020	"101 South Coler Avenue
Urbana, IL
(-88.2164, 40.1121)"
509 West Main Street	912108363005.00	6/3/2008	Class B	Issued	10/14/2021	"509 West Main Street
Urbana, IL
(-88.2142, 40.1135)"
908 North Broadway Avenue Unit 303	912108257077.00	4/10/2008	Class B	Expired	10/14/2021	"908 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1211)"
1004 East Washington Street	922116165018.00	7/24/2012	Class B	Expired		"1004 East Washington Street
Urbana, IL
(-88.1963, 40.1059)"
1002 East Delaware Avenue	922116353018.00	3/28/2016	Class C	Issued	10/14/2021	"1002 East Delaware Avenue
Urbana, IL
(-88.1966, 40.0994)"
2811 South Myra Ridge Drive	932128226012.00	11/13/2017	Class B	Issued	10/14/2021	"2811 South Myra Ridge Drive
Urbana, IL
(40.08157, -88.185555)"
1705 Willow Court	912105477032.00	7/13/2010	Class A	Issued	10/14/2020	"1705 Willow Court
Urbana, IL
(-88.2014, 40.1288)"
408 West Oregon Street	922117179018.00	4/17/2019	Class B	Issued	10/14/2021	"408 West Oregon Street
Urbana, IL
(40.107749939, -88.2125396729)"
