iid,id,gender,idg,condtn,wave,round,position,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_attractiveness,pf_o_sincerity,pf_o_intelligence,pf_o_fun,pf_o_ambition,pf_o_sharedinterests,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,race,imprace,imprelig,goal,date,go_out,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es
234,1,0,1,1,10,9,8,7,1,243,0,0.43,0,27,2,20,20,20,25,5,10,1,6,9,7,7,8,,7,7,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,0,4,8,9,7,8,2,5,2,0,1
234,1,0,1,1,10,9,8,4,2,244,0,0.46,0,28,2,20,20,20,10,10,20,0,6,8,9,8,9,3,3,2,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,1,7,8,8,7,9,5,7,4,0,1
234,1,0,1,1,10,9,8,6,3,245,0,0.05,0,32,2,18,10,30,10,10,22,1,8,7,6,6,,5,7,3,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,0,4,6,10,6,6,7,6,2,0,1
234,1,0,1,1,10,9,8,2,4,246,0,0.44,0,25,2,35,20,10,20,10,5,0,3,6,7,,,,5,5,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,0,4,8,7,5,6,2,4,1,,1
234,1,0,1,1,10,9,8,9,5,247,0,-0.2,0,25,4,20,30,10,15,0,25,1,3,7,5,5,4,4,6,6,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,0,3,7,9,2,9,,,1,0,1
234,1,0,1,1,10,9,8,3,6,248,0,0.23,1,27,6,25,15,20,20,15,5,0,5,7,8,6,7,3,7,4,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,0,5,6,6,8,6,2,6,3,0,1
234,1,0,1,1,10,9,8,5,7,249,0,0.3,1,33,6,22,22,15,15,5,21,1,9,9,8,9,7,9,9,8,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,0,4,8,7,8,9,8,7,5,0,1
234,1,0,1,1,10,9,8,1,8,250,0,0.66,1,25,6,20,20,20,20,10,10,0,5,10,6,7,7,4,5,6,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,1,7,5,8,5,8,7,5,3,0,1
234,1,0,1,1,10,9,8,8,9,251,0,-0.12,1,33,6,19,19,19,19,19,5,0,8,8,8,6,9,,7,4,2,22,Sociology and Education,3,6,1,5,3,7,3,5,20,20,20,10,10,20,1,5,8,7,4,,5,6,4,0,1
235,2,0,3,1,10,9,1,9,1,243,1,0.33,1,27,2,20,20,20,25,5,10,1,8,8,8,8,,,8,7,2,23,elementary education,9,2,3,1,1,4,3,5,15,15,20,20,20,10,1,6,6,6,5,5,5,5,3,0,1
